,Nome,Sobrenome,Nacionalidade,Posição, Clube,Liga,Idade,Ano em que nasceu,Jogos em que entrou,Jogos Iniciados,Minutos jogados,90 min jogados,Gols,Assist,G+A,Gols Normais,Penâltis Batidos,Penâltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols esperados,Gols normais previstos,Gols Assistidos Esperados,"Gols esperados,exceto pênaltis,+gols assistidos",Carregada Progressiva,Passes Progressivos,Passes Progressivos Recebidos,Gols/90min,Assis/90min,(Gols+Assis)/90min,Gols Normais/90min,(Gols normais+Assis)/90min,Gols previstos por 90min,Gols Assistidos esperados em 90min, Gols esperados+gols previstos em 90min,Gols normais previstos em 90min,"Gols esperados,exceto pênaltis,+gols assistidos em 90min"
1,Brenden,Aaronson, USA,"LT,AT",Leeds United,Premier League,22,2000,33,28,2.307,25.6,1,3,4,1,0,0,2,0,3.7,3.7,4.2,"7,9",43,84,147,"0,04","0,12","0,16","0,04","0,16","0,14","0,17","0,31","0,14","0,31"
2,Paxten,Aaronson, USA,"LT,ZG",Eint Frankfurt, Bundesliga,19,2003,5,0,135,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,"0,2",6,6,10,"0,00","0,00","0,00","0,00","0,00","0,11","0,03","0,14","0,11","0,14"
3,James,Abankwah, IRL,ZG,Udinese, Serie A,19,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0,0,0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
4,Yunis,Abdelhamid, MAR,ZG,Reims, Ligue 1,35,1987,34,34,3.060,34.0,1,1,2,1,0,0,4,0,2.2,2.2,0.9,"3,2",33,198,9,"0,03","0,03","0,06","0,03","0,06","0,07","0,03","0,09","0,07","0,09"
5,Himad,Abdelli, FRA,"LT,AT",Angers, Ligue 1,23,1999,26,20,1.783,19.8,0,1,1,0,0,0,3,0,1.2,1.2,2.3,"3,5",51,126,95,"0,00","0,05","0,05","0,00","0,05","0,06","0,12","0,18","0,06","0,18"
6,Salis,Abdul Samed, GHA,LT,Lens, Ligue 1,23,2000,29,29,2.534,28.2,1,1,2,1,0,0,5,1,0.9,0.9,1.5,"2,5",29,145,39,"0,04","0,04","0,07","0,04","0,07","0,03","0,05","0,09","0,03","0,09"
7,Laurent,Abergel, FRA,LT,Lorient, Ligue 1,30,1993,25,24,1.989,22.1,0,1,1,0,0,0,6,1,0.4,0.4,1.2,"1,6",10,108,11,"0,00","0,05","0,05","0,00","0,05","0,02","0,05","0,07","0,02","0,07"
8,Oliver,Abildgaard, DEN,LT,Hellas Verona, Serie A,26,1996,9,5,467,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.4,"0,5",1,11,7,"0,00","0,00","0,00","0,00","0,00","0,02","0,07","0,10","0,02","0,10"
9,Matthis,Abline, FRA,AT,Auxerre, Ligue 1,20,2003,16,8,750,8.3,2,1,3,1,1,2,0,0,3.0,1.5,0.7,"2,2",12,8,42,"0,24","0,12","0,36","0,12","0,24","0,37","0,08","0,45","0,18","0,26"
10,Matthis,Abline, FRA,"AT,LT",Rennes, Ligue 1,20,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,"1,0",4,2,11,"0,84","0,00","0,84","0,84","0,84","0,65","0,22","0,87","0,65","0,87"
11,Zakaria,Aboukhlal, MAR,"AT,LT",Toulouse, Ligue 1,23,2000,34,27,2.325,25.8,8,5,13,8,0,0,4,0,10.1,10.1,3.1,"13,2",93,64,256,"0,31","0,19","0,50","0,31","0,50","0,39","0,12","0,51","0,39","0,51"
12,Tammy,Abraham,ENG,AT,Roma, Serie A,25,1997,34,24,2.100,23.3,8,3,11,8,0,0,2,0,10.3,10.3,3.3,"13,6",35,51,131,"0,34","0,13","0,47","0,34","0,47","0,44","0,14","0,58","0,44","0,58"
